name;episode;addedDate;xdcc;downloaded
Saihate no Paladin;11;25-12-2021 20:30:49;/msg Ginpachi-Sensei xdcc send #4171;1
Senpai ga Uzai Kouhai no Hanashi;12;25-12-2021 20:30:49;/msg Ginpachi-Sensei xdcc send #4176;1
World Trigger 3;12;25-12-2021 20:30:49;/msg Ginpachi-Sensei xdcc send #4186;1
Build Divide Code Black;12;25-12-2021 20:30:49;/msg Ginpachi-Sensei xdcc send #4174;1
Kimetsu no Yaiba Yuukaku hen;4;26-12-2021 18:37:54;/msg Ginpachi-Sensei xdcc send #2209;1
Shin no Nakama;13;29-12-2021 17:10:50;/msg Ginpachi-Sensei xdcc send #2393;1
Komi san wa Comyushou desu;11;02-01-2022 18:44:46;/msg Ginpachi-Sensei xdcc send #2398;1
Kimetsu no Yaiba Yuukaku hen;5;02-01-2022 18:44:46;/msg Ginpachi-Sensei xdcc send #2466;1
Saihate no Paladin;12;03-01-2022 16:47:08;/msg Ginpachi-Sensei xdcc send #2476;1
Komi san wa Comyushou desu;12;07-01-2022 16:58:57;/msg Ginpachi-Sensei xdcc send #2407;0
Platinum End;13;07-01-2022 16:58:57;/msg Ginpachi-Sensei xdcc send #2406;0
Shuumatsu no Harem;1;08-01-2022 17:02:08;/msg Ginpachi-Sensei xdcc send #2424;0
Shikkakumon no Saikyou Kenja;1;08-01-2022 17:02:08;/msg Ginpachi-Sensei xdcc send #2442;0
Leadale no Daichi nite;1;08-01-2022 17:02:08;/msg Ginpachi-Sensei xdcc send #2381;0
Orient;1;08-01-2022 17:02:08;/msg Ginpachi-Sensei xdcc send #2387;0
Tokyo 24 ku;1;08-01-2022 17:02:08;/msg Ginpachi-Sensei xdcc send #2390;0
Saiyuuki Reload Zeroin;1;08-01-2022 17:02:08;/msg Ginpachi-Sensei xdcc send #2403;0
World Trigger 3;13;08-01-2022 22:15:23;/msg Ginpachi-Sensei xdcc send #2457;0
Kaijin Kaihatsu bu no Kuroitsu san;1;08-01-2022 22:15:23;/msg Ginpachi-Sensei xdcc send #2460;0
One Piece;1005;09-01-2022 10:24:36;/msg Ginpachi-Sensei xdcc send #2466;0
Jahy sama wa Kujikenai;1;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #17286;0
Jahy sama wa Kujikenai;2;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #17433;0
Jahy sama wa Kujikenai;3;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #17579;0
Jahy sama wa Kujikenai;4;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #17879;0
Jahy sama wa Kujikenai;5;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #18026;0
Jahy sama wa Kujikenai;6;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #18177;0
Jahy sama wa Kujikenai;7;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #18320;0
Jahy sama wa Kujikenai;8;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #18459;0
Jahy sama wa Kujikenai;9;09-01-2022 13:30:03;/msg CR-HOLLAND|NEW xdcc send #18567;0
Jahy sama wa Kujikenai;10;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #129;0
Jahy sama wa Kujikenai;11;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #352;0
Jahy sama wa Kujikenai;12;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #526;0
Jahy sama wa Kujikenai;13;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #710;0
Jahy sama wa Kujikenai;14;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #887;0
Jahy sama wa Kujikenai;15;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #1062;0
Jahy sama wa Kujikenai;16;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #1251;0
Jahy sama wa Kujikenai;17;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #1409;0
Jahy sama wa Kujikenai;18;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #1574;0
Jahy sama wa Kujikenai;19;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #1759;0
Jahy sama wa Kujikenai;20;09-01-2022 13:30:03;/msg Ginpachi-Sensei xdcc send #1919;0
100 man no Inochi no Ue ni Ore wa tatte iru;1;09-01-2022 13:58:56;/msg ARUTHA-BATCH|1080p xdcc send #18128;0
